username;text
boriskorchevnikov;Если кто-то ещё сомневался и не понимал, что эта война только за Христа и, как написал ещё весной отец Андрей Ткачев, Za Vеру, то украинские власти делают сейчас всё, чтобы напомнить это каждому.   Другой Церкви на Украине, кроме гонимой Украинской Церкви Московского Патриархата - нет.  В любой библиотеке или кружке шахматистов - Святого Духа, благодати и Истины больше, чем в этих сатанинских раскольничьих сектах, дурачащих народ. Сектам, которым власти предлагают занять Киево-Печерскую Лавру и все храмы страны, которые они занять, выбивая оттуда прихожан и батюшек железными прутьями, ещё не успели.  Страшное время. Исполняются недавние пророчества святых - от Серафима Вырицкого и Лаврентия Черниговского до Ионы Одесского и донбасского старца Зосимы (Сокура) о том, что церкви будут стоять открытые, блистать куполами, но ходить в них будет нельзя!   Спасайтесь, дорогие, время коротко. Бегите на исповедь и к причастию, которых вас могут лишить очень скоро. А с ними - и лишить самого главного в жизни: свободы, счастья, спасения и смысла.  Изгнанием из своей страны Бога (да, да, не надо по лживой моде наших дней отрывать Бога от Церкви. Церковь - это созданное Им место Его особого присутствия) украинская и западная властная клоака окончательно снимают с себя маску овцы и больше не стесняются своей волчьей пасти.  Изгнанием Бога с украины война окончательно начинает походить на  библейский Армагеддон:  грандиозную битву света и тьмы,  армии Бога и армии сатаны.   Победителя с уже побеждённым.
boriskorchevnikov;"Вчитываясь в слова старца Илия, которые опубликовал вчера, и в три названных им  шага, которые необходимы для нашей победы, подумал вдруг снова о ленине в сердце страны.   У земного Отечества - нет другой задачи, кроме как быть образом Отечества Небесного.   Всё остальное - справедливость, свобода, права, сила, благоденствие, хорошие дороги, здоровая пёстрая культура, безопасность, счастливое детство, даже  вкусная национальная еда - это все как бы производные, отражение, отсвет от высшего народного идеала.   Когда этот идеал - на Небе, тогда и на земле все в порядке. По слову блаженного Августина: ""Когда Бог на первом месте, то все остальное на своём"".  Когда этот идеал - только в земном и материальном, а Бог где-нибудь через запятую, третий с конца и на личное  усмотрение каждого, - то в первую очередь это земное и страдает: без Бога ничего не выходит на земле. Нет ни справедливости, ни правды, ни культуры, ни безопасности...  Все это мы сейчас видим по миру - бурным цветом.   У нашей страны символ этого украденого небесного идеала, фокуса только на земном и в итоге уродования этого земного - до сих пор является мавзолей ленина.   Этот труп лежит в сердце страны и смердит на всю Россию. Даже земля эту сатанинскую куклу не принимает, хотя он сам при жизни просил похоронить себя.   В ""Апокалипсисе"" Бог говорит церкви города Лаодикия: ""Ты живёшь там, где престол сатаны"".   Престол сатаны - это дьявольский алтарь. Мавзолей - это престол сатаны.   Когда после его строительства под ним прорвало канализацию, святой патриарх Тихон сказал: ""по мощам и елей"".  И вот этот смрад мы до сих пор терпим. Над стыдной куклой до сих пор трудятся ученые и  институты.   Нас пытаются уверить и успокоить лукавой формулой: ""давайте не воевать со своей историей, нам дорого всё, что в ней было"" и т.п.   Согласен, давайте не воевать, но разобраться в ней можно? Оценки расставить, понять её ошибки, её святых и её иуд, её мучеников и их убийц, палачей и их жертв. А как без этого?   Как с вашим ""нам дорого всё"" двигаться дальше? А, главное, куда тогда, если одинаково дороги преступники и герои?   Если земное Отечество - образ небесного, то представим себе, в Небесном отечестве, может стоять рядом памятник, например, римскому императору Диоклетиану и замученному им святому Георгию Победоносцу? Ленину и святому царю Николаю? Сталину и, утопленному в нечистотах в 37 году тверскому архиепископу Фаддею?   Не может. А на земле стоят. И пока так, то никакой не образ наше земное отечество - небесного.  Вот и живём мы с этим хаосом и размытой ватой в головах и сердцах. И кричащий символ этой безыдейности нашей и незнания себя - языческое смердящее капище с уродливой куклой в сердце православной страны.  Это и человеку противно. А Бог долго будет ещё это терпеть?   Может, хоть сейчас, когда кроме как на Бога, уповать не на кого, одумаемся и уберем дедушку в землю? Чтоб и его последнюю волю исполнить, и Бога перестать оскорблять и себя самих перестать путать."
boriskorchevnikov;"Вечерние удары по Киеву шли тогда, когда в Киево-Печерской Лавре, и во всём православном мире уже начали праздновать День Собора Киево-Печерских святых.  Это целая армия святых покровителей Киева и всего Русского мира, который с них и начался.  Сотни и тысячи известных и безвестных преподобных, целителей, святых воинов (Илья Муромец один из них), святых князей... - это армия, которая продолжает с нами жить, с нами воевать и нас отмаливать перед Богом.  А ещё, кто-то, может, удивится, но святые там на небе, просят Бога... о мести.  В ""Апокалипсисе"" описывается, как святые прямо кричат, требуют у Бога: ""Доколе, Владыка Святый и Истинный, не судишь и не мстишь живущим на земле за кровь нашу"" (Откр.. 6:10)  Святые, они такие. Это не пузатые  купидоны с крылышками.  Вы думаете, Киево-Печерская армия святых сидит себе в блаженстве на облачках в Царстве Небесном и только отвлекается от блаженства, выполняя наши поручения и требы?  Нет, они здесь, они с нами. Они воюют, они видят, кто и что царит на их земле, они злятся и вопят от беззакония и зверства на ней, в их святом городе, куда до революции люди на коленях приползали.  А сейчас там поставили престол сатаны.    Думаете, они будут это терпеть? Нет, они молят Бога о мести. И сами на нее выходят. По нашим молитвам.   Святые Киево-Печерские, помогайте нам."
boriskorchevnikov;"Видели, как эти сатанинские химеры - Химарс - этой ночью ударили по Каховке?  Нет, понятно, что против нас вышли государства, армии и люди сатаны. И воюют они сатанинскими методами: беспринципность, трусость, живые щиты и как можно больше страшной, несправедливой смерти беззащитных -сатана упивается такой кровью. Но, стараясь понять, как действует Бог (а в Библии (да и в наших судьбах) это показано очень просто и четко), мне кажется, что ответ о причинах войны, причинах того, почему Бог попустил сатане нападать на Своих, Божиих, одинаково страдать на войне и врагу, и правому -искать надо всегда первее всего в самих себе.    Помнишь, ты отправил свою девушку на аборт? Так это ты ударил Химарсами по Донецку. А тот, другой, не заплатил зарплату честно трудившемуся на него работнику? Так это он бьёт по своему же русскому солдату. Ты не устояла от соблазна чувства, которое показалось подлинным, и  разрушила собственную семью? Это ты бьёшь кассетными по нашим.  Промолчал на публичную пидерастическую выходку или, чего хуже, участвовал в ней, ржал или просто ухмылялся (по моде дней) над Церковью и её священниками, врал про них; облек свое безответственное пустое сожительство в пустословие о ""гражданском браке"" и вот это: ""штамп ни на что не влияет"";  вынес казенное с работы, ударил жену, накричал на маму, обматерил водителя из соседнего авто, убил в пьяной драке, блудил в какой-то свальной вони, аплодировал модному спектаклю, где надругались над Богом и человеком... все это мелкие – часто незаметные нам - камешки, брошенные в громадную гору меры зла в народе. Видит ее только Бог. И именно эта мера зла, как и мера добродетели, определяет и судьбу каждого человека, и судьбу целого народа, и судьбу всего мира.    И не надо смущаться этим: мол,почему невиновный должен должен умирать за чьи-то там ошибки? Где справедливость? Ответ на это: в крестике, что у нас на груди: там висит распятым Сам Бог. Бог казнен! Справедливо это? Несправедливо.  Нет справедливости в Боге. Не ищите её у Него. Там только Любовь и Жертва. И только они вычищают нас и делают святыми. Разве не это происходит сейчас: как блеклые прежде – заблестели, как тухлые прежде – наконец, завоняли. Как русская земля снова освятилась Великими Героями. Как одни вымаливают победу, везут со всех концов России на фронт – кто иконку, кто тепловизор, кто броник, кто шоколадку… Как другие рта открыть не могут  хотя бы для тихого «спасибо» тем, кто пошел за них умирать.   В войнах и потрясениях всё проясняется и рождаются святые. Справедливо это? Нет, это не справедливо. Но если мы иначе не можем, что остается делать Богу? Ведь Он хочет от нас только одного: чтобы мы по своей воле были с Ним и всегда радостны. Чтобы мы узнали и полюбили Его здесь –для того, чтобы не пропустить Его и быть с Ним в вечности.  Вот Он и стучится к нам всеми способами. Война –один из самых страшных, но далеко не последний из них. Поэтому, главное, наверно, что надо понять, глядя на взрывы химмарсов и прочей запрещенной дури, прилетающей к нам от мразей: что это не чья-то война. Я тоже решаю ее исход -просто самой своей жизнью. Грязью своей или чистотой.  Не у всех есть силы помогать фронту. Но у каждого из нас есть воля, чтобы изменить свою жизнь и стать ну… как в той песне «лучше и добрее».  Как это не покажется странным и безумным, но именно это, не меньше, чем наши Сарматы и Искандеры, решит исход этой войны. И сохранит от следующих."
boriskorchevnikov;Просто если когда-нибудь Вам будут говорить, что сатанизм - это ну просто одна из вер, что каждый имеет право, что у нас свобода совести и вот это всё бла-бла-бла, вспомните эту спину с рожой сатаны на спине азовца - пленённого, слава Богу, -  отвязного головореза, сатанинской мрази, которая годами упивалась кровью и пытками беззащитных людей.  Кстати, в америке сатанистам разрешено проповедывать в школах.
boriskorchevnikov;"Это с евровидения. Бесовщина.   Более менее всё западное  искусство последних лет пятидесяти-такое. Всепобеждающая поломка, возвеличенное уродство, вывих, девиация-застывшие в стали и рамах нечистоты души. А иногда и тела.  Ну вот такие они теперь. Бога потому что изгнали. И стали  такими.   И евровидение-это их ежегодный парад, всеевропейская анти-пасха. Варфолемеевская ночь-шабаш ведьм в помесь с гей-парадом и  духом свального греха. Чёрная месса с элементами древней храмовой проституции, факельного шествия, политики и прочих женщин с бородами.  Чтобы победить на таком конкурсе  сегодня, надо во-первых мало что  уметь, а во-вторых просто присягнуть сатане. Способов присяги сегодня море. Один из них-крикнуть ""слава украине""-и всё, присягнул.  Милость Божья, что Россия выведена из этого морока.   Потому что ещё первая строчка первого Псалма (одна из древних и всегда молодых молитв) говорит: ""Блажен муж, который не ходит на совет нечестивых и не стоит на пути грешных и не сидит в собрании развратителей""..."
boriskorchevnikov;"Зашкаливающий фарсовый идиотизм заявления про ""боевую виагру"" на самом деле страшен не тем даже, что так манипулируют сознанием обывателя - как и любая ложь, это все стает, - а тем, что на языке нынешних перевертышей означает только одно: так как раз  делают солдаты всу.  Прямо сейчас, когда эта тётка из оон называет русского солдата насильником и маньяком, в городках и деревнях украины насилуют и убивают женщин на глазах их детей и мужей фашисты из всу.   На днях боец с передовой мне рассказал в жутких красках, что там происходит. Я не страну писать здесь это, но, поверьте, на поле боя мы чаще всего имеем дело с расчеловеченным сатанинским зверьём.  А на экране и на трибунах полу-мира: с лжецами и перевертышами.  Государство-террорист -  террористами называет нас, насильники кричат о том, что насилуем мы; фашисты, устроившие геноцид на свой земле, обвиняют в геноциде нас.  Это старо как мир: ""вор кричит: держите вора"". Он иначе не умеет.   Просто этим изуродованным душам ненавистна сила и благородство русского солдата.  И, если победить пушками и спутниками у них ещё иногда может выйти, то победить этот русский дух они не в силах. Как не в силах бес одолеть Бога.   И единственное, что им остаётся: врать. Оклевать русского солдата своими же грехами, уродствами и пороками.  Потому что военачальник их - дьявол, ""ибо он лжец и отец лжи"" (Ин. 8:44)"
boriskorchevnikov;"Раскольники на Украине - это те, самые, кому порошенко и варфоломей нарисовали за огромные взятки красками на папирусе вензеля, обозвав это ""томосом"" и ещё хлеще расшатав этим Церковь и Украину,  провели сатанинское сборище и призвали  ""немедленно"" запретить  Украинскую Православную Церковь - единственную на самом деле  Церковь на Украине.   Всё остальное - это клубы, обвешанные иконами.  Кстати, поразительно, но несмотря на 30 лет поддержки раскольников киевскими властями, несмотря на 30 лет неслыханного вранья на Украине про Церковь реальную, каноническую, - храмы раскольников, которые они часто отбирают силой, избивая прихожан и священников стальными прутьями, стоят пустыми. А храмы гонимой, оболганной и кроткой  Украинской Православной Церкви - полны.   Даже после ""квази-томоса"", даже сейчас, впору окончательного осатанения антицерковных сил и чудовищной антицерковной  пропаганды на Украине - люди не уходят из Церкви, потому что сердцем чуят, где Церковь и Святой Дух, а где мошенники в рясах, и дыхание ада от их поступков и от кощунства над таинствами и святым.   И раскольники (ПЦУ) прекрасно понимают,что как только государство и госдеп перестанет подпитывать их клуб с иконами - политической, административной, финансовой, пи-ар и пропагандистской поддержкой, - их просто сметут. Не будет их.   Расстаят, как бесы от Креста, как в той молитве: ""Яко исчезает дым, да исчезнут"".  И поэтому, предвидя свой бесславный конец и стоя у порога ада, они выпускают идиотское требование - последнее уже - к властям просто запретить единственную каноническую Церковь.   Это называется агония.  Поверьте, настанет время, настаёт уже, когда весь этот легон чертей в рясах ринется в стало свиней, а вместе со стадом - со скалы в преисподнюю.  Через несколько лет мы даже не вспомним это зловоние над святой землей Украины. Не будет их, и раскола не будет.  Потому что только ""кроткие наследуют землю"". (Матф. 5:5)."
boriskorchevnikov;"Зачем американской бабушке на Тайвань?   Незачем.  Но весь мир следит за полётом борта, а на земле тревога, смятение и тревожные ожидания.  Потому что в этом суть этой нации:  имя им - провокаторы. Дело их - смута. Везде и побольше: революции, войны, тревоги.   Сатанинское это дело, потому что первый революционер - дьявол.   Поступки их, мысли и цели описал  еще Достоевский в ""Бесах"":   ""Знаете ли вы, что мы и теперь ужасно сильны?... Ну-с, и начнется смута! Раскачка такая пойдет, какой еще мир не видал""...  И, кроме этой, нет больше целей и смыслов у этой страны."
boriskorchevnikov;Украинское гражданство невзорова - это красноречивый образ и нынешней украины и самого невзорова.   Тут много говорят о том, что он стал поносить нашу спецоперацию. Но куда меньше говорили о главном деле его жизни: о тотальной одержимой публичной  лжи о Церкви, сатанинском безбожии , на проповедь которого он положил весь свой огромный и прокуренный талант.   Проповедь эта плодов не принесла даже в его собственной семье. Дочка и зять невзорова - многодетная глубоко-верующая семья, насколько знаю, вынужденная не общаться со своим нездоровым агрессивным родственником.   Несчастный, глубоко больной человек вполне подходит своей новой несчастной глубоко больной родине.  То, что этой публичной акцией власти украины плюнули снова с свою святую намоленную страну с огромным верующим народом - ну так им плевать на свой народ давно уже.  Пока в застенках сбу без всяких причин сидит больной раком православный публицист, талантливый поэт и телеведущий  украинец Ян Таксюр и еще сотни верных чад Украинской церкви и украинской культуры - давать гражданство безумному богорборцу  - что это, если, не безумие?   Но там всё сейчас так: потому что ненависть лишает рассудка.   Помните евангельский сюжет про гадаринского бесноватого? Когда из него вышел легион бесов и Господь отправил их в стадо свиней и те сиганули с горы?  Вот меня не оставляет чувство, что что-то похожее произошло сейчас: вышел легион бесов из нашей страны вместе с этим человеком и отправлен этот легион в стадо, которое вот-вот сорвётся в пропасть.
